[GRIDCELLS]
22	6
[/]

#objID	Cell_X	Cell_Y
[POSITIONS]
0	0	3
100	1	3
100	4	3
100	6	3
100	6	3
101	7	3
102	4	3
102	11	3
102	16	3
103	10	2
103	10	2
103	11	2
104	14	3
105	2	3
105	14	3
197	0	0
198	17	0
198	18	4
205	8	2
205	8	2
205	8	2
205	9	2
205	9	1
205	10	0
205	10	0
205	10	0
205	11	1
205	11	1
205	12	1
205	12	1
205	12	1
205	12	1
205	12	1
205	12	1
205	12	1
205	13	1
205	13	1
205	13	1
205	13	1
205	14	0
205	14	1
205	17	4
205	17	4
205	17	4
205	17	4
205	17	4
205	17	4
205	17	4
205	17	4
205	17	5
205	17	5
205	17	5
205	17	5
206	20	2
300	1	3
300	1	3
300	1	2
300	1	2
300	3	2
300	5	3
300	5	3
300	11	3
301	11	1
301	15	3
301	15	3
301	15	3
301	15	3
301	15	3
301	15	3
301	15	3
301	15	3
301	15	3
301	16	3
301	15	3
301	15	3
301	15	3
301	15	3
301	15	3
301	15	3
301	16	3
301	16	3
301	16	3
[/]
