#Use Notepad++ and set language to CMake for better readability

#r	g	b
[BGCOLOR]
156	252	240

#tex_id	file_path	r	g	b
[TEXTURES]
0	assets\textures\mario.png	68	145	190
1	assets\textures\enemies.png	255	255	255
2	assets\textures\stage_tileset.png	224	163	216
3	assets\textures\items_and_misc_blocks.png	255	255	255
4	assets\textures\gui_and_font.png	255	255	255

#obj_id	data_path
#0-99:	moving entities
#100:	portal
#101-200:	animated tileset, eg: question block
#201-300:	tileset, eg: ground

#0: Mario, 1: Goomba, 2: Paragoomba, etc...
[ENTITY_DATA]
#Projectiles
#Fireball
80	assets\data\projectiles\fireball_data.txt

#Mario
0	assets\data\player\mario_data.txt

#NPCs
#Goomba
1	assets\data\npc\goomba_data.txt

[TILESET_DATA]
#QuestionBlock

#Coins

#Whoever says they like game dev has never been into game dev
#construct background image
#left	top	right	bottom	x	y	tex_id
[BACKGROUND]
#white_flower
800	86	815	101	112	32	2
800	86	815	101	304	80	2
800	86	815	101	336	32	2
800	86	815	101	368	64	2
800	86	815	101	592	48	2
800	86	815	101	752	16	2
800	86	815	101	752	48	2
800	86	815	101	1104	112	2
800	86	815	101	1264	48	2
800	86	815	101	1360	32	2
800	86	815	101	1392	144	2
800	86	815	101	1456	96	2
800	86	815	101	1488	80	2
800	86	815	101	1616	32	2
800	86	815	101	1680	64	2
800	86	815	101	2224	80	2
800	86	815	101	2384	0	2
800	86	815	101	2448	0	2
800	86	815	101	2416	144	2

#white_mushroom
834	86	849	101	256	32	2
834	86	849	101	256	64	2
834	86	849	101	832	32	2
834	86	849	101	960	64	2
834	86	849	101	1216	128	2
834	86	849	101	1728	64	2
834	86	849	101	1856	80	2
834	86	849	101	1920	16	2
834	86	849	101	1920	144	2
834	86	849	101	2112	112	2

#white_star
817	86	832	101	224	64	2
817	86	832	101	288	80	2
817	86	832	101	608	48	2
817	86	832	101	672	16	2
817	86	832	101	800	16	2
817	86	832	101	1184	128	2
817	86	832	101	1504	64	2
817	86	832	101	1504	96	2
817	86	832	101	1952	16	2

#bush
375	324	390	339	160	400	2
375	324	390	339	176	400	2
375	324	390	339	192	400	2
375	324	390	339	672	384	2
375	324	390	339	688	384	2
375	324	390	339	704	384	2
375	324	390	339	720	384	2
375	324	390	339	736	384	2
375	324	390	339	752	384	2
375	324	390	339	1040	384	2
375	324	390	339	1056	384	2
375	324	390	339	1184	400	2
375	324	390	339	1200	400	2
375	324	390	339	1216	400	2
375	324	390	339	1728	400	2
375	324	390	339	1744	400	2
375	324	390	339	1760	400	2

#please end my suffering
#tall_bush
#top_left	307	307	322	322
#top_right	324	307	339	322
#top_left_green	307	341	322	356
#top_right_green	324	341	339	356
#green	341	324	356	339
#left_side	307	324	322	339
#right_side	324	324	339	339
307	307	322	322	32	352	2
324	307	339	322	48	352	2
307	307	322	322	16	368	2
324	341	339	356	32	368	2
324	324	339	339	48	368	2
307	307	322	322	64	368	2
324	307	339	322	80	368	2
307	307	322	322	96	368	2
324	307	356	339	112	368	2
307	324	322	339	16	384	2
307	341	322	356	32	384	2
324	341	339	356	48	384	2
341	324	356	339	64	384	2
324	324	339	339	80	384	2
307	324	322	339	96	384	2
307	341	322	356	112	384	2
324	307	339	322	128	384	2
307	324	322	339	16	400	2
341	324	356	339	32	400	2
341	324	356	339	48	400	2
341	324	356	339	64	400	2
307	341	322	356	80	400	2
324	341	339	356	96	400	2
341	324	356	339	112	400	2
324	324	339	339	128	400	2

#top_left	307	307	322	322
#top_right	324	307	339	322
#top_left_green	307	341	322	356
#top_right_green	324	341	339	356
#green	341	324	356	339
#left_side	307	324	322	339
#right_side	324	324	339	339
307	307	322	322	880	336	2
324	307	339	322	896	336	2
307	307	322	322	832	352	2
324	307	339	322	848	352	2
307	307	322	322	864	352	2
324	341	339	356	880	352	2
324	324	339	339	896	352	2
307	307	322	322	912	352	2
324	307	339	322	928	352	2
307	324	322	339	832	368	2
307	341	322	356	848	368	2
