[GRIDCELLS]
21	5
[/]

#Cell_X	Cell_Y	objID
[POSITIONS]
0	2	0
1	3	100
3	3	100
6	2	100
6	2	100
7	2	101
4	2	102
10	2	102
15	2	102
9	2	103
10	2	103
10	2	103
13	3	104
2	2	105
13	2	105
16	0	198
17	3	198
7	2	205
8	2	205
8	1	205
8	1	205
8	1	205
9	0	205
9	0	205
10	0	205
10	0	205
11	0	205
11	0	205
11	0	205
11	0	205
11	0	205
11	0	205
12	0	205
12	0	205
12	0	205
12	1	205
12	0	205
13	0	205
13	0	205
13	0	205
16	3	205
16	3	205
16	3	205
16	3	205
16	3	205
16	4	205
16	4	205
16	4	205
16	4	205
16	4	205
16	4	205
16	4	205
19	2	206
1	2	300
1	2	300
1	2	300
1	2	300
3	2	300
4	2	300
5	2	300
10	2	300
10	0	301
15	2	301
14	2	301
14	2	301
14	2	301
14	2	301
14	2	301
14	2	301
14	2	301
15	2	301
15	2	301
14	3	301
14	3	301
14	3	301
14	3	301
14	3	301
15	3	301
15	3	301
15	3	301
15	3	301
[/]
